firstName ,lastName ,preferredName ,SID ,age ,birthdate ,gender 
Aaron,Abegg,Aaron,301977853,18,8/28/1998,F
Aaron,Abeita,Aaron,301945853,20,6/13/1996,M
Abbey,Abel,Abbey,301439716,19,1/22/1998,M
Abbie,Abela,Abbie,303403728,20,12/12/1996,F
Abby,Abelar,Abby,302205256,19,10/1/1997,M
Abdul,Abelardo,Abdul,302966377,19,10/19/1997,M
Abe,Abele,Abe,303585091,23,5/21/1993,M
Abel,Abeles,Abel,301458488,22,1/6/1995,F
Abigail,Abell,Abigail,303186051,17,7/1/1999,M
Abraham,Abella,Abraham,302123046,23,9/16/1993,F
Abram,Abellera,Abram,302367201,23,7/2/1993,M
Ada,Abelman,Ada,301094983,23,8/28/1993,F
Adah,Abeln,Adah,301623977,21,11/6/1995,M
Adalberto,Abels,Adalberto,301391200,17,3/3/1999,F
Adaline,Abelson,Adaline,301138607,19,6/30/1997,M
Adam,Abramowitz,Adam,302353808,19,11/7/1997,F
Adam,Abramowski,Adam,302969953,21,8/8/1995,M
Adan,Abrams,Adan,303669396,24,7/31/1992,F
Addie,Abramson,Addie,303490273,23,10/5/1993,M
Adela,Abrantes,Adela,301871194,20,9/26/1996,F
Adelaida,Abreau,Adelaida,303978996,24,5/12/1992,M
Adelaide,Abrecht,Adelaide,303622501,19,5/7/1997,F
Adele,Abrego,Adele,302821969,22,3/28/1994,M
Adelia,Abrell,Adelia,303160271,22,11/29/1994,F
Adelina,Abreo,Adelina,301639706,20,11/20/1996,M
Adeline,Abreu,Adeline,301280621,18,6/23/1998,F
Adell,Abrev,Adell,302621838,19,9/10/1997,M
Adella,Abrew,Adella,303832796,19,12/31/1997,M
Adelle,Abrey,Adelle,302308229,18,7/21/1998,M
Adena,Abrial,Adena,301955201,21,3/29/1995,M
Adina,Ballagas,Adina,302111965,18,12/3/1998,F
Adolfo,Ballagh,Adolfo,302627318,23,12/5/1993,M
Adolph,Ballam,Adolph,301323043,20,2/6/1997,M
Adria,Ballan,Adria,303012301,17,4/19/1999,F
Adrian,Ballance,Adrian,303889921,20,1/2/1997,M
Adrian,Ballantine,Adrian,303724905,18,7/15/1998,M
Adriana,Ballantyne,Adriana,301377771,18,9/13/1998,M
Adriane,Ballar,Adriane,302040482,19,2/7/1998,F
Adrianna,Ballard,Adrianna,303776133,18,4/19/1998,M
Adrianne,Ballas,Adrianne,301109610,20,4/6/1996,F
Adrien,Ballato,Adrien,303510300,21,2/18/1995,M
Adriene,Balle,Adriene,303604112,21,2/21/1995,F
Adrienne,Ballejos,Adrienne,303575592,20,12/31/1996,M
Afton,Ballek,Afton,302092145,23,5/8/1993,F
Agatha,Ballen,Agatha,301389827,21,1/9/1996,M
Agnes,Ballena,Agnes,301508941,21,7/16/1995,F
Agnus,Ballengee,Agnus,302297218,24,4/18/1992,M
Agripina,Ballenger,Agripina,301017029,17,10/13/1999,F
Agueda,Ballensky,Agueda,302413217,24,7/22/1992,M
Agustin,Ballentine,Agustin,301620059,17,8/20/1999,F
Agustina,Baller,Agustina,302165639,21,3/6/1995,M
Ahmad,Ballerini,Ahmad,303255527,18,2/13/1998,F
Ahmed,Balles,Ahmed,301210779,23,7/12/1993,M
Ai,Ballestas,Ai,303564032,17,7/2/1999,F
Aida,Ballester,Aida,301958684,20,5/31/1996,M
Aide,Ballestero,Aide,301686596,20,10/31/1996,F
Aiko,Ballesteros,Aiko,302441898,21,7/9/1995,M
Aileen,Ballesterous,Aileen,302438518,20,10/19/1996,M
Ailene,Balletta,Ailene,302633305,20,4/26/1996,M
Aimee,Balletto,Aimee,303920416,23,12/26/1993,M
Aisha,Ballew,Aisha,301364868,19,12/8/1997,F
Aja,Balley,Aja,301226044,24,9/8/1992,M
Akiko,Ballez,Akiko,302699178,19,1/6/1998,M
Akilah,Balleza,Akilah,302328790,22,2/5/1995,F
Al,Balli,Al,301002610,18,11/7/1998,M
Alaina,Balliet,Alaina,302694036,24,8/4/1992,M
Alaine,Balliett,Alaine,303048771,21,5/15/1995,M
Alan,Balliew,Alan,302408987,21,4/9/1995,F
Alana,Ballif,Alana,302126360,19,4/20/1997,M
Alane,Ballin,Alane,302464974,21,4/14/1995,F
Alanna,Ballina,Alanna,301885940,17,10/2/1999,M
Alayna,Cerar,Alayna,302500489,23,9/16/1993,F
Alba,Cerasi,Alba,303630310,20,7/18/1996,M
Albert,Ceraso,Albert,303919929,22,1/18/1995,F
Albert,Cerasoli,Albert,302946898,21,11/23/1995,M
Alberta,Cerasuolo,Alberta,301312109,19,4/16/1997,F
Albertha,Ceravolo,Albertha,303929385,17,10/15/1999,M
Albertina,Cerbantes,Albertina,301473669,19,10/22/1997,F
Albertine,Cerbone,Albertine,302372352,19,6/20/1997,M
Alberto,Cerce,Alberto,303790161,21,8/28/1995,F
Albina,Cerceo,Albina,303618882,19,1/4/1998,M
Alda,Cerchia,Alda,302677236,21,12/7/1995,F
Alden,Cercone,Alden,302586080,17,10/21/1999,M
Aldo,Cercy,Aldo,302387917,22,3/26/1994,F
Alease,Cerda,Alease,301900032,19,2/15/1997,M
Alec,Cerdan,Alec,301830018,21,4/8/1995,F
Alecia,Cerecedes,Alecia,301093098,23,5/25/1993,M
Aleen,Cerecer,Aleen,303862692,24,1/13/1993,M
Aleida,Cereceres,Aleida,302870663,17,12/29/1999,M
Aleisha,Cereghino,Aleisha,301289503,24,5/18/1992,M
Alejandra,Cerenzia,Alejandra,303540284,23,9/29/1993,F
Alejandrina,Cereo,Alejandrina,302037640,22,3/8/1994,M
Alejandro,Ceretti,Alejandro,301203266,19,8/6/1997,M
Alena,Cerezo,Alena,303261868,22,7/29/1994,F
Alene,Cerf,Alene,302011671,24,2/12/1992,M
Alesha,Cerino,Alesha,303573586,23,1/15/1994,M
Aleshia,Cerio,Aleshia,302859380,19,4/3/1997,M
Alesia,Cerise,Alesia,302029436,20,3/16/1996,F
Alessandra,Cermak,Alessandra,302689308,21,6/24/1995,M
Aleta,Cermeno,Aleta,301880383,23,3/20/1993,F
Aletha,Cerminaro,Aletha,303303663,17,8/18/1999,M
Alethea,Cerna,Alethea,302858574,24,11/17/1992,F
Alethia,Cernansky,Alethia,301650532,18,12/30/1998,M
Alex,Cerney,Alex,301206715,24,7/11/1992,F
Alex,Cerni,Alex,301286695,21,8/19/1995,M
Alexa,Cerniglia,Alexa,301394375,20,6/4/1996,F
Alexander,Cernoch,Alexander,303381784,19,7/3/1997,M
Alexander,Cernohous,Alexander,301969280,17,11/25/1999,F
Alexandra,Cernota,Alexandra,301939650,25,1/23/1992,M
Alexandria,Cernuto,Alexandria,303818302,24,12/28/1992,F
Alexia,Cerny,Alexia,301382790,20,8/12/1996,M
Alexis,Ceron,Alexis,301462989,22,6/18/1994,F
Alexis,Cerone,Alexis,301321535,17,4/24/1999,M
Alfonso,Ceroni,Alfonso,301996907,19,6/7/1997,F
Alfonzo,Ceronsky,Alfonzo,301914251,18,1/4/1999,M
Alfred,Cerqueira,Alfred,302282918,24,10/1/1992,F
Alfreda,Cerra,Alfreda,302177219,21,7/10/1995,M
Alfredia,Cerrano,Alfredia,303390492,22,7/25/1994,M
Alfredo,Cerrato,Alfredo,303399543,18,11/25/1998,M
Ali,Cerrello,Ali,302719271,24,5/28/1992,M
Ali,Cerreta,Ali,301680696,20,5/30/1996,F
Alia,Cerri,Alia,302354953,18,10/13/1998,M
Alica,Namaka,Alica,302099085,20,1/26/1997,M
Alice,Naman,Alice,303155860,23,4/13/1993,F
Alicia,Namanny,Alicia,303110169,17,8/5/1999,M
Alida,Namanworth,Alida,302560252,24,5/26/1992,M
Alina,Namauu,Alina,303036981,21,11/19/1995,M
Aline,Namdar,Aline,302017577,24,1/31/1993,F
Alisa,Namer,Alisa,301285202,21,5/22/1995,M
Alise,Namey,Alise,303975250,19,7/24/1997,F
Alisha,Namihira,Alisha,302168881,19,1/19/1998,M
Alishia,Namisnak,Alishia,301198758,22,10/6/1994,F
Alisia,Namm,Alisia,302658211,19,11/30/1997,M
Alison,Nampel,Alison,302935750,17,5/27/1999,F
Alissa,Namsaly,Alissa,302138596,23,6/24/1993,M
Alita,Namur,Alita,303647046,21,12/26/1995,F
Alix,Nan,Alix,303738278,22,4/16/1994,M
Aliza,Nanas,Aliza,302934578,19,7/17/1997,F
Alla,Nanasy,Alla,301781581,21,4/10/1995,M
